"no image",wfo-0001048912,"Rhododendron rufescens Franch.",Code/Angiosperms/Ericales/Ericaceae/Ericoideae/Rhododendron/Rhododendron/Pogonanthum/rufescens,E00010308,Typification,Isotype,"Rhododendron rufescens Franch.","Wilson, Ernest",3455
"no match",CHOICE,,"11 candidates found.",E00327624,Typification,Isotype,"Rhododendron praeclarum Balf.f. & Farrer","Farrer, Reginald",88
"no match",CHOICE,,"10 candidates found.",E00010253,Typification,Holotype,"Rhododendron caeruleo-glaucum Balf.f. & Forrest","Forrest, George",19181
"no match",,,"10 candidates found.",E00010254,Typification,Holotype,"Rhododendron charopoeum Balf.f. & Farrer","Farrer, Reginald",1670
"no match",,,"10 candidates found.",E00010258,Typification,Holotype,"Rhododendron glauco-aureum Balf.f. & Forrest","Forrest, George",17544
"no match",,,"3 candidates found.",E00010233,Typification,Isotype,"Rhododendron glaucum Hook.f., non Sweet","Hooker, Joseph",
"no image",wfo-0001048182,"Rhododendron plebeium Balf.f. & W.W.Sm.",Code/Angiosperms/Ericales/Ericaceae/Ericoideae/Rhododendron/Rhododendron/Rhododendron/Heliolepida/heliolepis$Rhododendron/plebeium,E00010244,Typification,Holotype,"Rhododendron plebeium Balf.f. & W.W.Sm.","Forrest, George",8938
"no image",wfo-0001048181,"Rhododendron fumidum Balf.f. & W.W.Sm.",Code/Angiosperms/Ericales/Ericaceae/Ericoideae/Rhododendron/Rhododendron/Rhododendron/Heliolepida/heliolepis/fumidum$Rhododendron/fumidum,E00010245,Typification,Holotype,"Rhododendron fumidum Balf.f. & W.W.Sm.","Maire, Edouard-Ernest",224
"no image",wfo-0001250539,"Rhododendron oporinum Balf.f. & Kingdon-Ward",Code/Angiosperms/Ericales/Ericaceae/Ericoideae/Rhododendron/Rhododendron/Rhododendron/Heliolepida/heliolepis/oporinum$Rhododendron/oporinum,E00010246,Typification,Holotype,"Rhododendron oporinum Balf.f. & Kingdon-Ward","Kingdon-Ward, Francis",1906
"no image",wfo-0001048180,"Rhododendron heliolepis  var. heliolepis ",Code/Angiosperms/Ericales/Ericaceae/Ericoideae/Rhododendron/Rhododendron/Rhododendron/Heliolepida/heliolepis/heliolepis,E00010247,Typification,Holotype,"Rhododendron heliolepis var. heliolepis","Delavay, Pierre",2089
"no image",wfo-0001048186,"Rhododendron porrosquameum Balf.f. & Forrest",Code/Angiosperms/Ericales/Ericaceae/Ericoideae/Rhododendron/Rhododendron/Rhododendron/Heliolepida/heliolepis$Rhododendron/porrosquameum,E00010248,Typification,Holotype,"Rhododendron porrosquameum Balf.f. & Forrest","Forrest, George",15071
"no image",wfo-0001048185,"Rhododendron pholidotum Balf.f. & W.W.Sm.",Code/Angiosperms/Ericales/Ericaceae/Ericoideae/Rhododendron/Rhododendron/Rhododendron/Heliolepida/heliolepis$Rhododendron/pholidotum,E00010249,Typification,Holotype,"Rhododendron pholidotum Balf.f. & W.W.Sm.","Forrest, George",4162
"no match",,,"10 candidates found.",E00010220,Typification,Type,"Rhododendron leprosum Balf.f.","Monbeig, Jean-Théodore",5/1912
"no match",,,"10 candidates found.",E00010193,Typification,Holotype,"Rhododendron semanteum Balf.f.","Forrest, George",20492
"no match",,,"10 candidates found.",E00327540,Typification,Holotype,"Rhododendron semanteum Balf.f.","Forrest, George",20492
"no match",,,"10 candidates found.",E00010193,Typification,Isotype,"Rhododendron semanteum Balf.f.","Forrest, George",20492
"no match",,,"10 candidates found.",E00327540,Typification,Isotype,"Rhododendron semanteum Balf.f.","Forrest, George",20492
"no match",,,"10 candidates found.",E00010165,Typification,Syntype,"Rhododendron lepidotum var. eleagnoides Franch. (non. Hook.f.)","Delavay, Pierre",18
"no match",,,"10 candidates found.",E00010130,Typification,Type,"Rhododendron formosum var. johstoneanum G.Watt ex Brandis","Watt, George",6401
"no match",,,"10 candidates found.",E00010138,Typification,Holotype,"Rhododendron pseudociliipes Cullen","Forrest, George",17900
"no match",,,"10 candidates found.",E00010140,Typification,Holotype,"Rhododendron missionarum H.Lév.","Maire, Edouard-Ernest",
"no match",,,"10 candidates found.",E00010147,Typification,Holotype,"Rhododendron scottianum Hutch.","Forrest, George",10008
"no image",wfo-0000400340,"Rhododendron nitens Hutch.",Code/Angiosperms/Ericales/Ericaceae/Ericoideae/Rhododendron/Rhododendron/Rhododendron/Saluenensia/calostrotum/calostrotum$Rhododendron/nitens,E00029116,Typification,Isotype,"Rhododendron nitens Hutch.","Cultivated Plant (Non RBGE) (CULT)",
